Station,Reading,Time,Date,Elevation,Height,Water,Ice,Terrain,Slope,X,Y,Longitude,Latitude,Gravity,TideCorr,Bouguer,FreeAir,Source
018,2162.94,14:36:00,2019/12/04,322.14,0,0,0,0,0,245489.872752166,7707723.56667464,-41.4436835277778,-20.7127372777778,978568.022641561,0.0240593031048775,-46.6560575509192,-10.6097203294792,04122019_965
019,2165.885,14:55:00,2019/12/04,306.87,0,0,0,0,0,245553.491700584,7707972.19671391,-41.4430371111111,-20.7105013888889,978571.00480174,0.0292956586927176,-46.5440507523539,-12.2063730248339,04122019_965
020,2165.59,15:15:00,2019/12/04,314.4,0,0,0,0,0,245597.350151585,7708319.52896077,-41.4425660277778,-20.70737175,978570.712598336,0.0351542308926582,-45.16833564557,-9.98807730316996,04122019_965
021,2165.895,15:40:00,2019/12/04,313.77,0,0,0,0,0,245557.697672535,7708627.61333728,-41.4429018888889,-20.7045850555556,978571.028608868,0.0427157320082188,-44.8099603839615,-9.70019683404151,04122019_965
022,2165.715,16:05:00,2019/12/04,313.4,0,0,0,0,0,245253.128234168,7708746.86402488,-41.4458067777778,-20.703467,978570.854303682,0.0501995161175728,-44.9903338315882,-9.92197198518815,04122019_965
023,2158.385,16:25:00,2019/12/04,345.65,0,0,0,0,0,245300.305547937,7709098.42584413,-41.4453032222222,-20.7002996388889,978563.450949866,0.0558856762945652,-45.8611591000499,-7.1841352576499,04122019_965
024,2207.09,09:20:00,2019/12/05,360.39,0,0,0,0,0,245126.046681408,7709277.08556867,-41.4469491944444,-20.698663,978558.989833052,0.0588928945362568,-47.3252901886936,-6.99891199525364,05122019_996
025,2205.915,09:45:00,2019/12/05,366.27,0,0,0,0,0,244867.252308927,7709201.9460972,-41.4494429722222,-20.6993060277778,978557.804162091,0.0529813542962074,-47.3927276600503,-6.4083980701303,05122019_996
026,2200.04,10:10:00,2019/12/05,390.12,0,0,0,0,0,244639.235273414,7709376.20087835,-41.4516052777778,-20.6977017777778,978551.891479882,0.0459085665643215,-48.518427561039,-4.86536654151897,05122019_996
027,2198.62,10:30:00,2019/12/05,391.72,0,0,0,0,0,244590.801412006,7709650.76401582,-41.4520300833333,-20.6952165,978550.458771348,0.0396475717425346,-49.4881733909939,-5.65607797787392,05122019_996
028,2196.97,11:25:00,2019/12/05,394.05,0,0,0,0,0,244442.801045459,7709899.49960948,-41.4534138333333,-20.6929507777778,978548.785218048,0.0214224997907877,-50.5682822918303,-6.4754680430303,05122019_996
029,2192.5,11:50:00,2019/12/05,404.62,0,0,0,0,0,244236.666555042,7710168.51094855,-41.4553523055556,-20.6904940555556,978544.284462291,0.0135486675426364,-52.8434116579885,-7.56785144646852,05122019_996
030,2186.1,12:15:00,2019/12/05,429.32,0,0,0,0,0,244152.698311131,7710417.01491161,-41.4561217222222,-20.6882391666667,978537.843920226,0.00650352286174893,-54.2910127480715,-6.2516090853515,05122019_996
031,2175.77,12:40:00,2019/12/05,471.97,0,0,0,0,0,244002.016627677,7710711.55432808,-41.4575244166667,-20.6855595555556,978527.452964848,0.000660065794363618,-56.1329597384524,-3.32117052133239,05122019_996
032,2169.95,13:00:00,2019/12/05,500.4,0,0,0,0,0,243893.467881211,7710987.17467518,-41.4585256388889,-20.6830565,978521.598721583,-0.00293565983884037,-56.2458042346551,-0.252797636255053,05122019_996
033,2164.23,13:25:00,2019/12/05,517.64,0,0,0,0,0,243649.664661544,7711230.32644782,-41.4608290277778,-20.6808280277778,978515.846031223,-0.00586909893900156,-58.4745463926333,-0.552444203193318,05122019_996
034,2160.445,13:40:00,2019/12/05,534.22,0,0,0,0,0,243572.571812066,7711448.97577152,-41.4615367222222,-20.6788435833333,978512.040376839,-0.00672782910987735,-58.9006316904744,0.876714402645575,05122019_996
035,2157.745,14:05:00,2019/12/05,537.21,0,0,0,0,0,243452.57934245,7711817.32413458,-41.4626341111111,-20.6755018333333,978509.327372144,-0.00658559938892722,-60.8263266375844,-0.714410021424413,05122019_996
036,2162.365,14:26:00,2019/12/05,504.71,0,0,0,0,0,243443.886560169,7712029.1716225,-41.4626866388889,-20.6735881666667,978513.9758626,-0.00493572978302836,-62.4565217580809,-5.98124126192093,05122019_996
037,2171.26,14:55:00,2019/12/05,456.95,0,0,0,0,0,243181.849846836,7712223.42268107,-41.4651718611111,-20.6717986111111,978522.926245028,-0.000451373343821615,-62.7938638097526,-11.6627599625526,05122019_996
038,2177.935,15:18:00,2019/12/05,409.5,0,0,0,0,0,243005.131867954,7712533.84133384,-41.4668216944444,-20.6689720277778,978529.64473805,0.00476231751963496,-65.2403349559631,-19.4187198439631,05122019_996
039,2187.52,15:45:00,2019/12/05,354.9,0,0,0,0,0,242863.243687605,7712788.10435382,-41.4681455833333,-20.6666571666667,978539.291980804,0.0124482484534383,-66.1949638623715,-26.4828974319715,05122019_996
040,2198.21,16:05:00,2019/12/05,300.09,0,0,0,0,0,242750.261739551,7713063.92703125,-41.4691890277778,-20.6641516388889,978550.048675683,0.0189856626093388,-66.0701017842768,-32.4910822996368,05122019_996
041,2188.06,16:28:00,2019/12/05,354.37,0,0,0,0,0,243389.308461458,7714031.21676592,-41.4629186666667,-20.655507,978539.852534534,0.0271026827394962,-65.0745030820374,-25.4217417945174,05122019_996
042,2212.645,16:57:00,2019/12/05,234.85,0,0,0,0,0,242261.252470837,7713900.29434588,-41.4737571666667,-20.6565340555556,978564.585286613,0.0376616902649403,-63.9124397855389,-37.6335476999389,05122019_996
043,2191.73,10:40:00,2019/12/06,128.64,0,0,0,0,0,247710.133525841,7705856.53993458,-41.42264825,-20.7298936944444,978597.257582057,0.0642184168100357,-56.5068380064447,-42.1124727610047,06122019_965
