Line;Station;longitude;latitude;gravity_mgal;LAT_RAD;height_sea_level_m;;GTEO;CAR;AR_LIVRE;CB;BG;LAT_SIRGAS;FID;INSTITUICAO;LONG_SIRGAS
2104;na;-43.1686;-20.3911;978425.1100;-0.3559;641.91;;9.7866;-0.001981;-35.797692;0.000718;-107.63;-20.3911;1786;ON;-43.1686
2104;na;-43.1744;-20.3844;978431.5600;-0.3558;600.42;;9.7866;-0.001853;-41.756763;0.000672;-108.94;-20.3844;1787;ON;-43.1744
2104;na;-43.1353;-20.3942;978446.7400;-0.3559;536.15;;9.7866;-0.001655;-46.987906;0.000600;-106.98;-20.3942;1788;ON;-43.1353
2104;na;-43.1903;-20.3758;978457.3300;-0.3556;470.58;;9.7866;-0.001452;-55.548860;0.000527;-108.21;-20.3758;1789;ON;-43.1903
2104;na;-43.1986;-20.3739;978449.8700;-0.3556;512.13;;9.7866;-0.001580;-50.074647;0.000573;-107.38;-20.3739;1790;ON;-43.1986
2104;na;-43.1114;-20.4122;978430.5000;-0.3563;636.09;;9.7866;-0.001963;-33.447589;0.000712;-104.63;-20.4122;1791;ON;-43.1114
2104;na;-43.2125;-20.3708;978424.1100;-0.3555;636.34;;9.7866;-0.001964;-37.320913;0.000712;-108.53;-20.3708;1792;ON;-43.2125
2104;na;-43.2200;-20.3756;978434.1800;-0.3556;592.86;;9.7866;-0.001830;-40.951475;0.000663;-107.29;-20.3756;1793;ON;-43.2200
2104;na;-43.2286;-20.3761;978428.9200;-0.3556;620.11;;9.7866;-0.001914;-37.831569;0.000694;-107.22;-20.3761;1794;ON;-43.2286
2104;na;-43.1447;-20.3961;978439.3000;-0.3560;577.72;;9.7866;-0.001783;-41.711380;0.000646;-106.36;-20.3961;1795;ON;-43.1447
2104;na;-43.2475;-20.3714;978409.7100;-0.3555;710.14;;9.7866;-0.002191;-28.981559;0.000795;-108.45;-20.3714;1796;ON;-43.2475
2104;na;-43.5139;-20.3781;978343.7000;-0.3557;1168.32;;9.7866;-0.003605;46.008255;0.001307;-84.73;-20.3781;1797;ON;-43.5139
2104;na;-43.0406;-20.4111;978438.5900;-0.3562;597.58;;9.7866;-0.001844;-37.176904;0.000669;-104.05;-20.4111;1798;ON;-43.0406
2104;na;-43.0494;-20.4106;978443.7900;-0.3562;571.42;;9.7866;-0.001763;-40.020394;0.000639;-103.96;-20.4106;1799;ON;-43.0494
2104;na;-43.0583;-20.4061;978432.4000;-0.3562;636.28;;9.7866;-0.001964;-31.129251;0.000712;-102.33;-20.4061;1800;ON;-43.0583
2104;na;-43.1264;-20.4072;978437.2100;-0.3562;591.04;;9.7866;-0.001824;-40.345173;0.000661;-106.48;-20.4072;1801;ON;-43.1264
2104;na;-43.0683;-20.4072;978443.5800;-0.3562;576.78;;9.7866;-0.001780;-38.375809;0.000645;-102.92;-20.4072;1802;ON;-43.0683
2104;na;-43.1306;-20.3981;978444.7600;-0.3560;550.18;;9.7866;-0.001698;-44.868102;0.000616;-106.43;-20.3981;1803;ON;-43.1306
2104;na;-43.0867;-20.4103;978439.5300;-0.3562;600.08;;9.7866;-0.001852;-35.418226;0.000671;-102.57;-20.4103;1804;ON;-43.0867
2104;na;-43.0967;-20.4108;978436.5500;-0.3562;609.89;;9.7866;-0.001882;-35.400346;0.000682;-103.65;-20.4108;1805;ON;-43.0967
2104;na;-43.1031;-20.4081;978439.1800;-0.3562;593.61;;9.7866;-0.001832;-37.635139;0.000664;-104.06;-20.4081;1806;ON;-43.1031
2104;na;-43.0778;-20.4081;978441.5200;-0.3562;587.77;;9.7866;-0.001814;-37.097363;0.000658;-102.87;-20.4081;1807;ON;-43.0778
2104;na;-43.1175;-20.4178;978418.7500;-0.3564;696.79;;9.7866;-0.002150;-26.795868;0.000780;-104.77;-20.4178;1808;ON;-43.1175
2104;na;-43.1244;-20.4150;978429.4800;-0.3563;639.22;;9.7866;-0.001973;-33.666811;0.000715;-105.20;-20.4150;1809;ON;-43.1244
2104;na;-43.2386;-20.3733;978420.9500;-0.3556;655.38;;9.7866;-0.002023;-34.752367;0.000733;-108.09;-20.3733;1810;ON;-43.2386
2104;na;-43.5233;-20.3814;978347.4400;-0.3557;1156.29;;9.7866;-0.003568;45.841434;0.001294;-83.55;-20.3814;1811;ON;-43.5233
2104;na;-43.2561;-20.3747;978397.0700;-0.3556;778.91;;9.7866;-0.002404;-20.593447;0.000872;-107.75;-20.3747;1812;ON;-43.2561
2104;na;-43.4506;-20.3939;978397.4400;-0.3559;868.81;;9.7866;-0.002681;6.388649;0.000972;-90.83;-20.3939;1813;ON;-43.4506
2104;na;-43.4408;-20.3925;978406.2400;-0.3559;823.85;;9.7866;-0.002542;1.396495;0.000922;-90.79;-20.3925;1814;ON;-43.4408
2104;na;-43.4189;-20.3869;978422.2500;-0.3558;733.57;;9.7866;-0.002264;-10.123953;0.000821;-92.21;-20.3869;1815;ON;-43.4189
2104;na;-43.4275;-20.3878;978418.9700;-0.3558;752.37;;9.7866;-0.002322;-7.655297;0.000842;-91.85;-20.3878;1816;ON;-43.4275
2104;na;-43.4344;-20.3928;978409.8800;-0.3559;807.68;;9.7866;-0.002493;0.028755;0.000904;-90.35;-20.3928;1817;ON;-43.4344
2104;na;-43.3303;-20.3814;978422.0000;-0.3557;727.39;;9.7866;-0.002245;-11.957106;0.000814;-93.35;-20.3814;1818;ON;-43.3303
2104;na;-43.3997;-20.3847;978403.7700;-0.3558;846.42;;9.7866;-0.002612;6.351164;0.000947;-88.36;-20.3847;1819;ON;-43.3997
2104;na;-43.4586;-20.3914;978382.3900;-0.3559;933.53;;9.7866;-0.002881;11.458563;0.001045;-93.00;-20.3914;1820;ON;-43.4586
2104;na;-43.4675;-20.3886;978372.7900;-0.3558;989.28;;9.7866;-0.003053;19.227995;0.001107;-91.47;-20.3886;1821;ON;-43.4675
2104;na;-43.4775;-20.3864;978360.3900;-0.3558;1053.05;;9.7866;-0.003250;26.637032;0.001178;-91.20;-20.3864;1822;ON;-43.4775
2104;na;-43.4867;-20.3864;978348.3500;-0.3558;1128.52;;9.7866;-0.003483;37.887074;0.001263;-88.39;-20.3864;1823;ON;-43.4867
2104;na;-43.4961;-20.3856;978343.0900;-0.3558;1164.33;;9.7866;-0.003593;43.725170;0.001303;-86.56;-20.3856;1824;ON;-43.4961
2104;na;-43.5056;-20.3806;978341.8200;-0.3557;1170.83;;9.7866;-0.003613;44.755599;0.001310;-86.26;-20.3806;1825;ON;-43.5056
