Station,Reading,Time,Date,height_sea_level_m,X,Y,longitude,latitude,gravity_mgal,TideCorr,Source
20,2165.59,15:15:00,2019/12/04,314.4,245597.350151585,7708319.52896077,-41.4425660277778,-20.70737175,978570.712598336,0.0351542308926582,04122019_965
21,2165895,15:40:00,2019/12/04,313.77,245557.697672535,7708627.61333728,-41.4429018888889,-20.7045850555556,978571.028608868,0.0427157320082188,04122019_965
22,2165715,16:05:00,2019/12/04,313.4,245253.128234168,7708746.86402488,-41.4458067777778,-20.703467,978570.854303682,0.0501995161175728,04122019_965
23,2158385,16:25:00,2019/12/04,345.65,245300.305547937,7709098.42584413,-41.4453032222222,-20.7002996388889,978563.450949866,0.0558856762945652,04122019_965
24,2207.09,09:20:00,2019/12/05,360.39,245126.046681408,7709277.08556867,-41.4469491944444,-20.698663,978558.989833052,0.0588928945362568,05122019_996
25,2205915,09:45:00,2019/12/05,366.27,244867.252308927,7709201.9460972,-41.4494429722222,-20.6993060277778,978557.804162091,0.0529813542962074,05122019_996
26,2200.04,10:10:00,2019/12/05,390.12,244639.235273414,7709376.20087835,-41.4516052777778,-20.6977017777778,978551.891479882,0.0459085665643215,05122019_996
27,2198.62,10:30:00,2019/12/05,391.72,244590.801412006,7709650.76401582,-41.4520300833333,-20.6952165,978550.458771348,0.0396475717425346,05122019_996
28,2196.97,11:25:00,2019/12/05,394.05,244442.801045459,7709899.49960948,-41.4534138333333,-20.6929507777778,978548.785218048,0.0214224997907877,05122019_996
29,2192.5,11:50:00,2019/12/05,404.62,244236.666555042,7710168.51094855,-41.4553523055556,-20.6904940555556,978544.284462291,0.0135486675426364,05122019_996
30,2186.1,12:15:00,2019/12/05,429.32,244152.698311131,7710417.01491161,-41.4561217222222,-20.6882391666667,978537.843920226,0.00650352286174893,05122019_996
31,2175.77,12:40:00,2019/12/05,471.97,244002.016627677,7710711.55432808,-41.4575244166667,-20.6855595555556,978527.452964848,0.000660065794363618,05122019_996
32,2169.95,13:00:00,2019/12/05,500.4,243893.467881211,7710987.17467518,-41.4585256388889,-20.6830565,978521.598721583,-0.00293565983884037,05122019_996
33,2164.23,13:25:00,2019/12/05,517.64,243649.664661544,7711230.32644782,-41.4608290277778,-20.6808280277778,978515.846031223,-0.00586909893900156,05122019_996
34,2160445,13:40:00,2019/12/05,534.22,243572.571812066,7711448.97577152,-41.4615367222222,-20.6788435833333,978512.040376839,-0.00672782910987735,05122019_996
35,2157745,14:05:00,2019/12/05,537.21,243452.57934245,7711817.32413458,-41.4626341111111,-20.6755018333333,978509.327372144,-0.00658559938892722,05122019_996
